catalogue_group,website_product,catalogue_source,primary_image,additional_images,variants
01,Executive Frame Suitcase Set,01 — Executive suitcases 2,01_Executive_suitcases_2_img1.jpg,01_Executive_suitcases_2_img3.jpg;01_Executive_suitcases_2_img9.jpg,Light; Black; Pink
02,Rubber Suitcase Set — Group 02,02 — Rubber 3,02_Rubber_3_img1.jpg,02_Rubber_3_img7.jpg;02_Rubber_3_img13.jpg;02_Rubber_3_img18.jpg,Dark Grey; Pink; Purple; Tan
03,PP Rubber 4-in-1 Suitcase Set,03 — Rubber 4 In 1,03_Rubber_4_In_1_img1.jpg,03_Rubber_4_In_1_img3.jpg;03_Rubber_4_In_1_img5.jpg;03_Rubber_4_In_1_img8.jpg,Tan; Red; Black; Green; N01–N04
04,Rubber Suitcase Set — Group 04,04 — Rubber 2,04_rubber_2_img1.jpg,04_rubber_2_img3.jpg;04_rubber_2_img7.jpg;04_rubber_2_img9.jpg,Rose; Blue; Black; Green; Light Neutral
05,Themed Suitcase Collection,05 — Themed suitcases,05_themed_suitcases_img1.jpg,05_themed_suitcases_img3.jpg;05_themed_suitcases_img7.jpg;05_themed_suitcases_img13.jpg,Character/graphic themes; Multiple
06,Textured Rubber Suitcases — Individual Styles,06 — Rubber,06_rubber_img1.jpg,06_rubber_img3.jpg;06_rubber_img9.jpg;06_rubber_img17.jpg,Chevron; Ribbed; Geometric
07,NP12 Double-Zip Suitcase Set,07 — Rubber,07_rubber_img1.jpg,07_rubber_img7.jpg;07_rubber_img12.jpg;07_rubber_img17.jpg,NP12; Multiple colours
08,DH2508 Double-Handle Fibre Set,08 — Fibre suitcases,08_fibre_suitcases_img1.jpg,08_fibre_suitcases_img3.jpg;08_fibre_suitcases_img7.jpg;08_fibre_suitcases_img17.jpg,DH2508; Multiple colours
09,Ribbed Rubber Suitcase Set,09 — Rubber suitcases 2,09_Rubber_suitcases_2_img1.jpg,09_Rubber_suitcases_2_img3.jpg;09_Rubber_suitcases_2_img7.jpg;09_Rubber_suitcases_2_img15.jpg,Lavender; Blue; Purple; Light Blue; Dark Neutral
10,Executive Suitcase Set — Blue,10 — Executive suitcases 2,10_Executive_suitcases_2_img1.jpg,10_Executive_suitcases_2_img3.jpg;10_Executive_suitcases_2_img6.jpg,Light Blue
11,Executive Suitcase Set — Catalogue Reference,11 — Executive suitcases 1,11_Executive_suitcases_1_img2.jpg,11_Executive_suitcases_1_img4.jpg;11_Executive_suitcases_1_img6.jpg,Black; Pink; White; Light Blue; Reference imagery
12,Fibre Suitcase Collection,12 — Fibre suitcases,12_Fibre_suitcases_img1.jpg,12_Fibre_suitcases_img3.jpg;12_Fibre_suitcases_img7.jpg;12_Fibre_suitcases_img19.jpg,Rose; Blue; Black; Cyan; Pink; Green
13,Rubber Suitcase Collection — Group 13,13 — Rubber suitcases,13_Rubber_suitcases_img1.jpg,13_Rubber_suitcases_img5.jpg;13_Rubber_suitcases_img9.jpg;13_Rubber_suitcases_img17.jpg,Green; Pink; Blue; Grey
14,Chrisbella Bags Collection,14 — Chrisbella bags,14_Chrisbella_bags_img1.jpg,14_Chrisbella_bags_img3.jpg;14_Chrisbella_bags_img5.jpg;14_Chrisbella_bags_img11.jpg,Brown; Burgundy; Neutral; Mixed
